Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
Fully Paid,97900.0,Short Term,643.0,285038.0,< 1 year,Own Home,Home Improvements,3349.13,9.8,6.0,0.0,188461.0,422092.0,0.0,0.0
Charged Off,307560.0,Short Term,7470.0,1290195.0,8 years,Home Mortgage,Debt Consolidation,9869.93,17.0,13.0,0.0,211071.0,1286362.0,0.0,0.0
Fully Paid,351780.0,Short Term,716.0,1348183.0,5 years,Home Mortgage,Debt Consolidation,20447.42,23.7,20.0,0.0,376124.0,650980.0,0.0,0.0
Charged Off,364628.0,Long Term,675.0,1159152.0,10+ years,Home Mortgage,other,8123.64,20.5,7.0,0.0,238355.0,527714.0,0.0,0.0
Fully Paid,79178.0,Short Term,744.0,1519696.0,< 1 year,Own Home,Debt Consolidation,13803.88,27.1,12.0,0.0,169936.0,406538.0,0.0,0.0
Fully Paid,359106.0,Short Term,739.0,1124268.0,10+ years,Home Mortgage,Debt Consolidation,31854.07,23.0,23.0,0.0,200013.0,701844.0,0.0,0.0
Fully Paid,320232.0,Long Term,655.0,1363573.0,10+ years,Home Mortgage,Medical Bills,24146.53,23.9,24.0,0.0,766422.0,1540682.0,0.0,0.0
Fully Paid,75658.0,Short Term,727.0,3266822.0,9 years,Rent,Educational Expenses,6724.29,12.8,6.0,0.0,444391.0,849134.0,0.0,0.0
Fully Paid,97262.0,Short Term,718.0,839952.0,7 years,Own Home,Debt Consolidation,8609.47,15.3,5.0,0.0,62719.0,86460.0,0.0,0.0
Fully Paid,338074.0,Short Term,720.0,1711881.0,10+ years,Rent,Debt Consolidation,22682.39,14.0,11.0,1.0,92511.0,209220.0,1.0,0.0
Fully Paid,512006.0,Short Term,710.0,1500544.0,1 year,Rent,Debt Consolidation,29885.86,13.9,12.0,0.0,264556.0,466994.0,0.0,0.0
Fully Paid,334224.0,Short Term,750.0,2516018.0,< 1 year,Home Mortgage,Home Improvements,53465.24,15.9,12.0,0.0,778487.0,1828398.0,0.0,0.0
Fully Paid,334224.0,Short Term,736.0,1712641.0,5 years,Rent,Business Loan,770.64,18.2,8.0,2.0,7676.0,444510.0,2.0,0.0
Fully Paid,216788.0,Short Term,738.0,1348031.0,10+ years,Rent,Debt Consolidation,10615.68,30.6,9.0,0.0,127395.0,388168.0,0.0,0.0
Fully Paid,224576.0,Short Term,717.0,1454640.0,10+ years,Home Mortgage,Home Improvements,20607.4,20.8,9.0,0.0,382793.0,458370.0,0.0,0.0
Fully Paid,330066.0,Short Term,728.0,1235247.0,3 years,Rent,Debt Consolidation,18631.78,12.8,16.0,0.0,246525.0,367356.0,0.0,0.0
Fully Paid,627572.0,Long Term,702.0,1742148.0,10+ years,Home Mortgage,Debt Consolidation,18582.95,16.8,8.0,0.0,411293.0,555698.0,0.0,0.0
Fully Paid,359150.0,Short Term,746.0,1453937.0,1 year,Home Mortgage,Debt Consolidation,31259.37,15.4,7.0,1.0,220552.0,404074.0,1.0,0.0
Charged Off,185284.0,Short Term,744.0,489459.0,5 years,Rent,Debt Consolidation,5791.96,13.2,6.0,0.0,268128.0,578138.0,0.0,0.0
Fully Paid,646668.0,Short Term,710.0,2233944.0,1 year,Home Mortgage,Debt Consolidation,51008.35,15.0,10.0,0.0,2637010.0,4194212.0,0.0,0.0
Fully Paid,243166.0,Short Term,730.0,1718208.0,8 years,Rent,Debt Consolidation,17325.34,13.8,15.0,0.0,122740.0,335984.0,0.0,0.0
Fully Paid,99999999.0,Short Term,728.0,1047831.0,10+ years,Rent,Debt Consolidation,10478.31,16.3,9.0,0.0,208810.0,492404.0,0.0,0.0
Fully Paid,270314.0,Short Term,744.0,1167246.0,10+ years,Home Mortgage,Home Improvements,21788.63,16.2,16.0,1.0,240901.0,586014.0,1.0,0.0
Fully Paid,89892.0,Short Term,746.0,1164510.0,< 1 year,Rent,Debt Consolidation,7413.99,22.0,7.0,0.0,188043.0,611622.0,0.0,0.0
Fully Paid,788414.0,Short Term,705.0,3404477.0,1 year,Home Mortgage,other,59578.11,27.3,14.0,0.0,1132267.0,1764532.0,0.0,0.0
Fully Paid,99999999.0,Short Term,726.0,932995.0,7 years,Rent,Debt Consolidation,12984.03,12.8,12.0,0.0,161918.0,308858.0,0.0,0.0
Fully Paid,772310.0,Short Term,739.0,3472193.0,10+ years,Home Mortgage,Debt Consolidation,29802.83,43.4,12.0,0.0,171114.0,500324.0,0.0,0.0
Charged Off,390060.0,Long Term,725.0,842175.0,3 years,Rent,Debt Consolidation,12281.79,21.3,9.0,1.0,220742.0,676192.0,1.0,0.0
Fully Paid,494978.0,Long Term,672.0,1240434.0,< 1 year,Own Home,Debt Consolidation,19950.38,19.4,13.0,0.0,115691.0,201124.0,0.0,0.0
Fully Paid,193974.0,Short Term,699.0,781793.0,9 years,Rent,Debt Consolidation,12834.5,16.3,15.0,1.0,130169.0,351340.0,1.0,0.0
Fully Paid,77924.0,Short Term,655.0,734255.0,3 years,Home Mortgage,Debt Consolidation,11075.1,10.0,7.0,0.0,46854.0,246642.0,0.0,0.0
Fully Paid,141218.0,Short Term,680.0,1138974.0,2 years,Own Home,other,3454.96,12.5,7.0,1.0,21755.0,92268.0,0.0,1.0
Charged Off,288552.0,Short Term,735.0,824277.0,4 years,Rent,Debt Consolidation,15249.02,15.9,9.0,0.0,359385.0,472890.0,0.0,0.0
Charged Off,660000.0,Short Term,728.0,1425000.0,10+ years,Home Mortgage,Debt Consolidation,8858.75,20.2,4.0,0.0,26011.0,242880.0,0.0,0.0
Fully Paid,267630.0,Short Term,718.0,1104907.0,6 years,Home Mortgage,Debt Consolidation,17862.85,16.4,7.0,0.0,227202.0,393250.0,0.0,0.0
Fully Paid,99999999.0,Short Term,743.0,1488080.0,5 years,Rent,Debt Consolidation,17856.96,8.4,8.0,0.0,86545.0,328592.0,0.0,0.0
Fully Paid,99999999.0,Short Term,729.0,1895896.0,10+ years,Rent,Debt Consolidation,15435.6,20.2,3.0,0.0,530328.0,724130.0,0.0,0.0
Fully Paid,75966.0,Long Term,698.0,262466.0,5 years,Rent,Buy a Car,656.07,9.0,5.0,0.0,9063.0,34716.0,0.0,0.0
Fully Paid,283866.0,Short Term,736.0,1131450.0,10+ years,Home Mortgage,Debt Consolidation,9900.14,11.8,6.0,1.0,96691.0,218218.0,1.0,0.0
Charged Off,464310.0,Long Term,712.0,1003713.0,10+ years,Rent,Debt Consolidation,19237.88,13.6,6.0,0.0,654550.0,916454.0,0.0,0.0
Fully Paid,630014.0,Short Term,693.0,1600313.0,10+ years,Rent,Debt Consolidation,31205.98,17.3,10.0,0.0,447716.0,701492.0,0.0,0.0
Charged Off,490050.0,Long Term,739.0,1301652.0,< 1 year,Own Home,Debt Consolidation,12474.26,18.8,11.0,0.0,285646.0,453090.0,0.0,0.0
Fully Paid,672474.0,Short Term,714.0,2323092.0,10+ years,Home Mortgage,Debt Consolidation,19939.93,28.5,14.0,0.0,472967.0,786830.0,0.0,0.0
Fully Paid,320760.0,Short Term,729.0,2288664.0,< 1 year,Rent,Debt Consolidation,21170.18,13.7,11.0,0.0,286995.0,388674.0,0.0,0.0
Fully Paid,161348.0,Short Term,748.0,1207716.0,10+ years,Home Mortgage,Debt Consolidation,14895.05,28.7,22.0,0.0,144077.0,1104752.0,0.0,0.0
Charged Off,212784.0,Short Term,727.0,2069803.0,10+ years,Rent,Debt Consolidation,44845.51,16.3,26.0,0.0,378499.0,989296.0,0.0,0.0
Fully Paid,99999999.0,Short Term,743.0,1278206.0,8 years,Own Home,Debt Consolidation,16190.47,15.8,8.0,0.0,428963.0,688908.0,0.0,0.0
Fully Paid,33132.0,Short Term,746.0,972781.0,6 years,Own Home,Home Improvements,27156.7,28.6,11.0,0.0,286064.0,439318.0,0.0,0.0
Fully Paid,578732.0,Long Term,713.0,1137036.0,10+ years,Home Mortgage,Debt Consolidation,21224.71,21.8,13.0,0.0,584858.0,873796.0,0.0,0.0
Fully Paid,579832.0,Long Term,669.0,2889045.0,2 years,Home Mortgage,Home Improvements,31779.59,22.9,13.0,1.0,275215.0,461846.0,1.0,0.0
Fully Paid,99999999.0,Short Term,704.0,2180630.0,9 years,Home Mortgage,Debt Consolidation,30529.01,18.7,12.0,0.0,508383.0,826760.0,0.0,0.0
Fully Paid,195558.0,Short Term,732.0,1125978.0,9 years,Home Mortgage,Debt Consolidation,18015.61,10.5,11.0,0.0,226480.0,429902.0,0.0,0.0
Fully Paid,99999999.0,Short Term,730.0,1385898.0,3 years,Home Mortgage,Debt Consolidation,10197.87,12.7,10.0,0.0,256595.0,333454.0,0.0,0.0
Fully Paid,264616.0,Short Term,721.0,2285244.0,5 years,Rent,Debt Consolidation,19234.08,9.5,11.0,0.0,227582.0,425722.0,0.0,0.0
Fully Paid,444356.0,Short Term,746.0,2110691.0,3 years,Rent,Debt Consolidation,31660.46,16.5,10.0,0.0,468483.0,651200.0,0.0,0.0
Charged Off,402930.0,Short Term,740.0,1333952.0,< 1 year,Own Home,Business Loan,8114.9,26.3,3.0,0.0,0.0,0.0,0.0,0.0
Fully Paid,774400.0,Long Term,617.0,2579630.0,2 years,Home Mortgage,Debt Consolidation,37404.54,13.9,20.0,0.0,825436.0,1035518.0,0.0,0.0
Fully Paid,353232.0,Short Term,719.0,1906650.0,1 year,Rent,Buy House,20973.15,10.2,8.0,0.0,80237.0,293986.0,0.0,0.0
Fully Paid,534072.0,Short Term,741.0,1441397.0,2 years,Home Mortgage,Debt Consolidation,8071.77,34.5,15.0,0.0,411901.0,901604.0,0.0,0.0
Charged Off,268708.0,Short Term,730.0,667128.0,5 years,Rent,Home Improvements,9450.98,11.2,17.0,0.0,207974.0,718828.0,0.0,0.0
Fully Paid,176616.0,Short Term,673.0,1304141.0,10+ years,Rent,other,14236.89,12.9,6.0,1.0,97546.0,132418.0,1.0,0.0
Fully Paid,76758.0,Short Term,749.0,2197160.0,1 year,Home Mortgage,other,15178.91,16.7,9.0,0.0,22477.0,839762.0,0.0,0.0
Fully Paid,433268.0,Long Term,725.0,3012203.0,3 years,Home Mortgage,Debt Consolidation,20809.18,8.2,11.0,0.0,156598.0,761860.0,0.0,0.0
Fully Paid,284702.0,Long Term,734.0,2881350.0,10+ years,Home Mortgage,Debt Consolidation,17408.18,30.0,10.0,1.0,664430.0,1083588.0,0.0,1.0
Charged Off,333960.0,Short Term,711.0,961400.0,9 years,Rent,Debt Consolidation,16263.62,16.4,12.0,0.0,295507.0,433114.0,0.0,0.0
Fully Paid,99999999.0,Short Term,714.0,657153.0,5 years,Rent,Debt Consolidation,10733.48,8.4,11.0,0.0,152646.0,323708.0,0.0,0.0
Fully Paid,159104.0,Short Term,747.0,1477535.0,< 1 year,Home Mortgage,other,1144.94,14.0,4.0,0.0,35511.0,1869186.0,0.0,0.0
Fully Paid,662244.0,Long Term,681.0,1715814.0,< 1 year,Rent,Debt Consolidation,19445.93,15.7,8.0,0.0,414675.0,881012.0,0.0,0.0
Charged Off,227634.0,Short Term,741.0,567492.0,8 years,Own Home,Debt Consolidation,9458.2,17.7,7.0,0.0,335730.0,517638.0,0.0,0.0
Fully Paid,99999999.0,Long Term,742.0,1533566.0,10+ years,Home Mortgage,Debt Consolidation,13929.85,19.8,9.0,0.0,170297.0,417780.0,0.0,0.0
Fully Paid,99999999.0,Short Term,744.0,796879.0,1 year,Rent,Debt Consolidation,15824.72,28.5,12.0,0.0,425334.0,934494.0,0.0,0.0
Fully Paid,99999999.0,Short Term,720.0,521303.0,10+ years,Rent,Debt Consolidation,8427.83,10.3,10.0,0.0,119320.0,290884.0,0.0,0.0
Charged Off,154154.0,Short Term,745.0,1597596.0,7 years,Rent,Debt Consolidation,6377.16,11.5,9.0,0.0,301454.0,827134.0,0.0,0.0
Fully Paid,99999999.0,Short Term,743.0,1708119.0,6 years,Home Mortgage,Debt Consolidation,36155.1,12.0,15.0,0.0,192318.0,660770.0,0.0,0.0
Fully Paid,537284.0,Short Term,717.0,1651993.0,1 year,Home Mortgage,Debt Consolidation,14317.26,15.8,10.0,0.0,205314.0,443520.0,0.0,0.0
Fully Paid,761156.0,Short Term,701.0,2911142.0,7 years,Home Mortgage,Debt Consolidation,51915.22,18.8,11.0,0.0,1632423.0,2392654.0,0.0,0.0
Charged Off,345334.0,Short Term,7370.0,874323.0,2 years,Home Mortgage,Debt Consolidation,14280.59,23.6,12.0,0.0,130644.0,472736.0,0.0,0.0
Fully Paid,333806.0,Short Term,700.0,826405.0,8 years,Rent,Debt Consolidation,7093.08,18.7,10.0,0.0,248102.0,411598.0,0.0,0.0
Fully Paid,449768.0,Long Term,718.0,1456635.0,10+ years,Home Mortgage,Debt Consolidation,16872.76,19.0,6.0,1.0,263454.0,467874.0,1.0,0.0
Fully Paid,99999999.0,Short Term,744.0,752400.0,2 years,Home Mortgage,Debt Consolidation,5718.24,13.0,10.0,0.0,117572.0,328856.0,0.0,0.0
Fully Paid,99999999.0,Long Term,727.0,2054888.0,10+ years,Home Mortgage,Debt Consolidation,43666.37,15.7,8.0,0.0,158270.0,222662.0,0.0,0.0
Fully Paid,80212.0,Short Term,717.0,3560353.0,< 1 year,Rent,Debt Consolidation,18068.81,19.2,15.0,0.0,218918.0,285120.0,0.0,0.0
Fully Paid,223102.0,Short Term,748.0,1685946.0,10+ years,Home Mortgage,Debt Consolidation,19655.12,33.8,6.0,0.0,494760.0,936100.0,0.0,0.0
Charged Off,265606.0,Long Term,742.0,1070498.0,10+ years,Home Mortgage,Home Improvements,668.99,47.0,5.0,0.0,4142.0,686158.0,0.0,0.0
Fully Paid,196680.0,Short Term,721.0,1038008.0,< 1 year,Home Mortgage,Debt Consolidation,19497.04,15.8,11.0,0.0,320416.0,576994.0,0.0,0.0
Fully Paid,557040.0,Long Term,693.0,967005.0,7 years,Home Mortgage,Debt Consolidation,27076.14,9.0,10.0,0.0,339416.0,546612.0,0.0,0.0
Fully Paid,99999999.0,Long Term,736.0,1114464.0,< 1 year,Home Mortgage,Debt Consolidation,18110.04,17.0,9.0,0.0,163001.0,303446.0,0.0,0.0
Fully Paid,273966.0,Short Term,706.0,697300.0,10+ years,Own Home,Debt Consolidation,12551.21,17.5,7.0,0.0,29735.0,193446.0,0.0,0.0
Charged Off,320848.0,Short Term,732.0,772388.0,3 years,Home Mortgage,Debt Consolidation,16735.2,15.2,20.0,0.0,67735.0,320122.0,0.0,0.0
Fully Paid,99999999.0,Short Term,748.0,481707.0,2 years,Own Home,Debt Consolidation,3219.36,14.7,5.0,0.0,162526.0,712844.0,0.0,0.0
Charged Off,533456.0,Long Term,682.0,1026342.0,3 years,Home Mortgage,Debt Consolidation,15908.13,11.6,10.0,0.0,153292.0,246510.0,0.0,0.0
Fully Paid,212762.0,Short Term,741.0,1091018.0,5 years,Rent,Debt Consolidation,23093.17,14.2,11.0,0.0,564167.0,838574.0,0.0,0.0
Fully Paid,162866.0,Short Term,733.0,1125180.0,10+ years,Home Mortgage,Debt Consolidation,12939.57,16.3,10.0,0.0,142994.0,240658.0,0.0,0.0
Fully Paid,330462.0,Short Term,737.0,1141596.0,2 years,Rent,Debt Consolidation,6963.69,14.1,3.0,0.0,348593.0,407704.0,0.0,0.0
Fully Paid,111562.0,Short Term,715.0,1811365.0,2 years,Home Mortgage,other,25057.01,12.0,18.0,0.0,250857.0,379192.0,0.0,0.0
Charged Off,223146.0,Long Term,7260.0,576232.0,2 years,Rent,Debt Consolidation,10228.08,9.8,5.0,1.0,163381.0,337216.0,1.0,0.0
Fully Paid,57926.0,Long Term,668.0,857299.0,8 years,Rent,Debt Consolidation,16681.62,9.4,5.0,0.0,5301.0,6688.0,0.0,0.0
Fully Paid,220814.0,Short Term,751.0,1106085.0,6 years,Home Mortgage,Debt Consolidation,14563.5,17.5,8.0,0.0,198151.0,1024320.0,0.0,0.0
Fully Paid,178332.0,Short Term,724.0,673854.0,10+ years,Home Mortgage,Debt Consolidation,15049.33,29.5,18.0,1.0,155515.0,285384.0,1.0,0.0
Charged Off,471790.0,Long Term,7270.0,1513426.0,2 years,Rent,Debt Consolidation,30016.2,18.2,15.0,0.0,750557.0,1125740.0,0.0,0.0
Fully Paid,99999999.0,Short Term,735.0,947245.0,< 1 year,Home Mortgage,Debt Consolidation,22497.14,14.3,13.0,0.0,231724.0,423192.0,0.0,0.0
Fully Paid,254034.0,Long Term,696.0,968620.0,10+ years,Home Mortgage,Debt Consolidation,14367.99,20.9,15.0,0.0,349030.0,612326.0,0.0,0.0
Fully Paid,99999999.0,Long Term,686.0,1141596.0,3 years,Home Mortgage,Debt Consolidation,20491.69,42.9,14.0,1.0,450604.0,625614.0,1.0,0.0
Fully Paid,39116.0,Short Term,724.0,2496182.0,< 1 year,Home Mortgage,Home Improvements,40979.01,15.9,14.0,0.0,480358.0,669306.0,0.0,0.0
Fully Paid,40568.0,Short Term,714.0,600324.0,2 years,Rent,other,15408.24,32.3,7.0,1.0,72732.0,161964.0,1.0,0.0
Fully Paid,603922.0,Long Term,673.0,2221499.0,< 1 year,Home Mortgage,Debt Consolidation,13273.59,22.4,11.0,0.0,175370.0,369182.0,0.0,0.0
Fully Paid,119416.0,Short Term,656.0,778316.0,2 years,Own Home,Debt Consolidation,4708.77,19.0,6.0,4.0,27626.0,60830.0,0.0,0.0
Fully Paid,335720.0,Short Term,679.0,1179045.0,10+ years,Own Home,Debt Consolidation,13853.85,17.2,25.0,1.0,186390.0,620158.0,0.0,0.0
Fully Paid,99999999.0,Short Term,749.0,1534592.0,1 year,Own Home,Debt Consolidation,27111.1,31.0,8.0,0.0,458090.0,875292.0,0.0,0.0
Fully Paid,99999999.0,Short Term,707.0,674025.0,3 years,Rent,Debt Consolidation,11009.17,6.2,11.0,0.0,99636.0,311806.0,0.0,0.0
Charged Off,239316.0,Short Term,738.0,769044.0,1 year,Rent,Debt Consolidation,11856.19,15.6,11.0,0.0,194655.0,287122.0,0.0,0.0
Fully Paid,22088.0,Short Term,740.0,953610.0,3 years,Rent,Debt Consolidation,12794.22,15.6,7.0,0.0,294804.0,503470.0,0.0,0.0
Charged Off,654258.0,Long Term,741.0,1544453.0,3 years,Home Mortgage,other,283.1,22.3,6.0,0.0,9747.0,451880.0,0.0,0.0
Fully Paid,99999999.0,Short Term,744.0,1091550.0,10+ years,Home Mortgage,Debt Consolidation,6794.97,18.1,4.0,0.0,228342.0,470470.0,0.0,0.0
Fully Paid,180268.0,Short Term,736.0,544882.0,1 year,Home Mortgage,Debt Consolidation,7083.39,11.9,15.0,0.0,309377.0,728090.0,0.0,0.0
Charged Off,501952.0,Long Term,659.0,1143306.0,10+ years,Home Mortgage,Debt Consolidation,18007.06,26.8,16.0,0.0,337174.0,1084512.0,0.0,0.0
Fully Paid,461670.0,Short Term,747.0,2468271.0,10+ years,Home Mortgage,Debt Consolidation,19458.09,16.6,8.0,0.0,1200743.0,1876270.0,0.0,0.0
Fully Paid,439164.0,Short Term,735.0,1156796.0,6 years,Rent,Debt Consolidation,24196.5,27.9,17.0,0.0,295317.0,996952.0,0.0,0.0
Fully Paid,99999999.0,Short Term,751.0,895071.0,3 years,Rent,Debt Consolidation,14842.99,18.8,22.0,0.0,22420.0,2359522.0,0.0,0.0
Charged Off,437184.0,Short Term,745.0,1038312.0,1 year,Home Mortgage,Debt Consolidation,21631.5,22.9,25.0,0.0,470174.0,655908.0,0.0,0.0
Fully Paid,345620.0,Short Term,743.0,1492488.0,10+ years,Home Mortgage,Home Improvements,30720.53,12.1,37.0,0.0,80560.0,1165956.0,0.0,0.0
Fully Paid,626846.0,Short Term,748.0,3093504.0,3 years,Rent,Home Improvements,2010.77,13.1,10.0,0.0,29583.0,646272.0,0.0,0.0
Charged Off,597256.0,Short Term,697.0,1536872.0,4 years,Rent,other,20235.38,10.8,26.0,0.0,93461.0,1115664.0,0.0,0.0
Fully Paid,310024.0,Long Term,650.0,1147524.0,< 1 year,Rent,Debt Consolidation,22089.78,15.6,13.0,0.0,298395.0,555500.0,0.0,0.0
Charged Off,215776.0,Short Term,696.0,577695.0,1 year,Rent,Debt Consolidation,9724.39,15.2,5.0,0.0,135242.0,204974.0,0.0,0.0
Charged Off,111364.0,Short Term,750.0,1423290.0,10+ years,Rent,Debt Consolidation,19570.38,19.4,9.0,0.0,59964.0,573892.0,0.0,0.0
Fully Paid,42922.0,Short Term,730.0,1204866.0,3 years,Rent,Debt Consolidation,8614.79,12.2,4.0,0.0,79933.0,120186.0,0.0,0.0
Fully Paid,66572.0,Short Term,722.0,1533072.0,2 years,Home Mortgage,Home Improvements,27978.64,15.8,17.0,0.0,374509.0,558822.0,0.0,0.0
Fully Paid,218416.0,Short Term,732.0,660212.0,5 years,Home Mortgage,Debt Consolidation,14304.53,15.1,7.0,0.0,149777.0,240196.0,0.0,0.0
Fully Paid,147070.0,Short Term,725.0,475437.0,7 years,Own Home,other,2202.86,22.3,5.0,0.0,47766.0,658548.0,0.0,0.0
Fully Paid,241648.0,Long Term,718.0,931665.0,8 years,Rent,Debt Consolidation,14363.05,37.5,10.0,1.0,90554.0,284944.0,1.0,0.0
Fully Paid,257422.0,Short Term,718.0,833720.0,3 years,Home Mortgage,Debt Consolidation,12526.51,16.8,12.0,0.0,112575.0,804584.0,0.0,0.0
Fully Paid,163790.0,Short Term,719.0,499776.0,7 years,Own Home,Debt Consolidation,7788.1,37.5,6.0,0.0,90877.0,146344.0,0.0,0.0
Fully Paid,52822.0,Short Term,701.0,2679418.0,9 years,Home Mortgage,Home Improvements,35279.01,17.1,5.0,0.0,1537803.0,2685672.0,0.0,0.0
Charged Off,440440.0,Long Term,7020.0,1203631.0,5 years,Rent,Debt Consolidation,29288.5,16.9,15.0,0.0,317167.0,671352.0,0.0,0.0
Fully Paid,298100.0,Short Term,721.0,1460055.0,2 years,Own Home,Debt Consolidation,8723.85,9.2,6.0,0.0,195510.0,304282.0,0.0,0.0
Fully Paid,763840.0,Long Term,716.0,2186368.0,3 years,Home Mortgage,Debt Consolidation,28605.07,14.0,7.0,0.0,344565.0,519486.0,0.0,0.0
Fully Paid,328240.0,Short Term,748.0,732184.0,10+ years,Home Mortgage,Debt Consolidation,2892.18,13.9,10.0,0.0,170867.0,860178.0,0.0,0.0
Charged Off,423060.0,Short Term,6860.0,1028793.0,10+ years,Rent,Debt Consolidation,17061.05,17.5,12.0,0.0,330296.0,521048.0,0.0,0.0
Charged Off,92620.0,Short Term,7190.0,620521.0,7 years,Rent,Debt Consolidation,2657.91,15.0,7.0,1.0,53333.0,162492.0,1.0,0.0
Fully Paid,88088.0,Short Term,734.0,1673843.0,6 years,Rent,Debt Consolidation,39056.21,17.5,20.0,0.0,552045.0,1323410.0,0.0,0.0
Fully Paid,395252.0,Long Term,664.0,910271.0,7 years,Rent,Business Loan,5029.3,15.5,11.0,0.0,219507.0,621434.0,0.0,0.0
Fully Paid,107492.0,Short Term,669.0,1114008.0,10+ years,Rent,other,27293.12,10.9,9.0,1.0,287470.0,492404.0,1.0,0.0
Fully Paid,123420.0,Short Term,733.0,1220940.0,5 years,Rent,Medical Bills,28997.42,12.9,8.0,0.0,330543.0,594308.0,0.0,0.0
Charged Off,132902.0,Short Term,725.0,860814.0,10+ years,Rent,Debt Consolidation,9899.38,10.3,12.0,0.0,129162.0,537966.0,0.0,0.0
Fully Paid,442464.0,Short Term,740.0,2865960.0,< 1 year,Home Mortgage,Debt Consolidation,25554.81,17.0,10.0,0.0,448989.0,893244.0,0.0,0.0
Fully Paid,438944.0,Long Term,645.0,871910.0,10+ years,Rent,Debt Consolidation,23250.87,12.5,9.0,0.0,244112.0,342210.0,0.0,0.0
Fully Paid,355388.0,Long Term,697.0,959120.0,10+ years,Rent,Debt Consolidation,15985.27,17.0,11.0,0.0,70566.0,213356.0,0.0,0.0
Fully Paid,387882.0,Short Term,702.0,890321.0,3 years,Rent,Debt Consolidation,18993.73,8.0,9.0,0.0,306793.0,435336.0,0.0,0.0
Fully Paid,392744.0,Short Term,745.0,1790199.0,< 1 year,Home Mortgage,Debt Consolidation,31805.81,23.4,12.0,0.0,693082.0,2011328.0,0.0,0.0
Fully Paid,346610.0,Long Term,724.0,1983030.0,< 1 year,Home Mortgage,Debt Consolidation,13848.15,26.8,11.0,0.0,271795.0,536118.0,0.0,0.0
Charged Off,307604.0,Long Term,6770.0,1000350.0,7 years,Home Mortgage,Debt Consolidation,25509.02,9.0,10.0,0.0,246012.0,319000.0,0.0,0.0
Fully Paid,99999999.0,Short Term,742.0,1153490.0,9 years,Home Mortgage,Debt Consolidation,23166.13,11.6,10.0,0.0,295374.0,505934.0,0.0,0.0
Fully Paid,463518.0,Long Term,698.0,1130310.0,3 years,Home Mortgage,Debt Consolidation,15937.39,22.6,12.0,1.0,326268.0,547514.0,1.0,0.0
Charged Off,305294.0,Short Term,739.0,753312.0,5 years,Home Mortgage,Debt Consolidation,15254.53,10.6,12.0,0.0,240236.0,366476.0,0.0,0.0
Fully Paid,326150.0,Long Term,680.0,1689993.0,4 years,Home Mortgage,Debt Consolidation,30800.14,22.6,9.0,0.0,779076.0,989120.0,0.0,0.0
Fully Paid,331716.0,Short Term,750.0,2100868.0,1 year,Home Mortgage,Debt Consolidation,17157.0,20.7,9.0,0.0,152893.0,523732.0,0.0,0.0
Fully Paid,99999999.0,Short Term,733.0,872708.0,10+ years,Rent,Debt Consolidation,6901.75,13.1,7.0,1.0,92758.0,260678.0,1.0,0.0
Fully Paid,131560.0,Short Term,739.0,662739.0,10+ years,Own Home,Debt Consolidation,11266.62,10.0,7.0,1.0,76855.0,173140.0,1.0,0.0
Fully Paid,103928.0,Short Term,673.0,774725.0,2 years,Rent,Other,15300.7,15.7,15.0,0.0,83448.0,291016.0,0.0,0.0
Charged Off,436568.0,Short Term,734.0,1602403.0,10+ years,Rent,Debt Consolidation,19762.85,15.3,15.0,0.0,379354.0,678898.0,0.0,0.0
Charged Off,130944.0,Short Term,705.0,753920.0,1 year,Rent,Debt Consolidation,14387.18,9.6,11.0,0.0,102448.0,275198.0,0.0,0.0
Fully Paid,235400.0,Long Term,731.0,658274.0,2 years,Rent,Debt Consolidation,12013.51,24.7,25.0,0.0,303335.0,975612.0,0.0,0.0
Fully Paid,99999999.0,Short Term,732.0,1230440.0,10+ years,Rent,Medical Bills,11073.96,14.6,12.0,0.0,145388.0,667986.0,0.0,0.0
Charged Off,540716.0,Short Term,747.0,1167474.0,5 years,Home Mortgage,Debt Consolidation,17025.71,13.1,19.0,0.0,452200.0,1474946.0,0.0,0.0
Fully Paid,436744.0,Short Term,749.0,4714850.0,1 year,Own Home,other,28564.03,18.0,13.0,0.0,114.0,0.0,0.0,0.0
Charged Off,331100.0,Short Term,743.0,1162819.0,9 years,Rent,Debt Consolidation,20252.67,14.5,8.0,0.0,510302.0,640178.0,0.0,0.0
Charged Off,175450.0,Short Term,728.0,625062.0,4 years,Rent,Debt Consolidation,10000.84,52.6,6.0,0.0,87039.0,206096.0,0.0,0.0
Fully Paid,22506.0,Short Term,714.0,2526069.0,3 years,Home Mortgage,Debt Consolidation,25681.73,20.5,10.0,0.0,267615.0,470184.0,0.0,0.0
Fully Paid,545820.0,Long Term,695.0,3224300.0,7 years,Home Mortgage,Medical Bills,62874.04,25.5,10.0,0.0,2094408.0,2849704.0,0.0,0.0
Fully Paid,153670.0,Short Term,714.0,606727.0,6 years,Home Mortgage,Debt Consolidation,8291.79,12.8,13.0,0.0,137807.0,188826.0,0.0,0.0
Fully Paid,99999999.0,Short Term,632.0,1420288.0,3 years,Rent,Buy House,29234.16,20.8,8.0,0.0,60382.0,205062.0,0.0,0.0
